日	날 일
月	달 월
夕	저녁 석
辰	별 진
氣	기운 기
風	바람 풍
雨	비 우
山	메 산
谷	골 곡
阜	언덕 부
阝	언덕 부 변
石	돌 석
土	흙 토
金	쇠 금
玉	구슬 옥
邑	고을 읍
里	마을 리
田	밭 전
鹵	소금밭 로
水	물 수
氵	삼수 변
川	내 천
氷	얼음 빙
冫	얼음 빙 변
火	불 화
丶	불똥 주
艹	초두머리
艸	풀 초
鳥	새 조
乙	새 을
隹	새 추
羽	깃 우
飛	날 비
翟	꿩 적
雚	황새 관
犬	개 견
犭	개 견 변
豕	돼지 시
彐	돼지머리 계
彑	고슴도치 머리 계
牛	소 우
馬	말 마
羊	양 양
鹿	사슴 록
鼠	쥐 서
禺	원숭이 우
豸	해태 치
龍	용 용
卯	토끼 묘
虎	범 호
亥	돼지 해
喿	새떼로울 조
禸	발자국 유
釆	분별할 변
肉	고기 육
月	고기 육 변
骨	뼈 골
角	뿔 각
皮	가죽 피
韋	다룸가죽 위
革	가죽 혁
魚	고기 어
貝	조개 패
䖝	벌레 충
蜀	해바라기 벌레 촉
鄳	맹꽁이 맹
龜	거북 귀
小	작을 소
生	날 생
禾	벼 화
濟	가지런할 제
米	쌀 미
麥	보리 맥
豆	콩 두
黍	기장 서
斗	말 두
食	먹을 식
韭	부추 구
瓜	오이 과
麻	삼 마
木	나무 목
氏	성씨 씨
氐	밑 저
竹	대 죽
爿	조각 널 장
片	조각 편
人	사람 인
儿	어진사람 인 발
大	큰 대
尢	절름발이 왕
冘	베개 음
己	몸 기
卩	병부 절
臣	신하 신
士	선비 사
父	아비 부
毋	말 무
子	아들 자
女	계집 녀
老	늙을 로
耂	노인 로
疒	병질 엄
歺	뼈 앙상할 알
歹	죽을 사 변
尸	주검 시
鬼	귀신 귀
身	몸 신
頁	머리 혈
首	머리 수
亠	머리부분 두
㐱	숱많을 진
面	얼굴 면
容	얼굴 용
目	눈 목
艮	그칠 간
見	볼 견
監	볼 감
示	보일 시
自	스스로 자
鼻	코 비
耳	귀 이
口	입 구
咼	입삐뚤어질 와
凵	입벌릴 감
欠	하품 흠
无	없을 무
舌	혀 설
言	말씀 언
曰	가로 왈
音	소리 음
甘	달 감
齒	이 치
牙	어금니 아
心	마음 심
忄	마음 심 변
手	손 수
扌	재방 변
且	또 차
曾	거듭 증
又	또 우
屮	왼손 좌
寸	마디 촌
爪	손톱 조
廾	손 맞잡을 공
廾	받들 공
鬪	싸울 투
厶	사사로울 사
勹	안을 포
聿	붓 율
支	지탱할 지
攵	칠 복
鼓	북 고
隶	미칠 이
足	발 족
疋	발 소
止	그칠 지
癶	걸을 발
舛	어그러질 천
夗	누워딩굴 원
行	다닐 행
彳	작은 걸음 척
彳	걸을 척
辶	쉬엄쉬엄 갈 착
夊	천천히 걸을 쇠
夂	뒤져올 치
廴	길게 걸을 인
走	달릴 주
至	이를 지
毛	털 모
彡	털 삼
髟	긴머리 표
而	말이을 이
衣	옷 의
衤	옷의 변
袁	옷길 원
絲	실 사
幺	작을 요
黹	바느질 치
巾	수건 건
冖	덮을 멱
食	밥 식
皿	그릇 명
血	피 혈
아	덮을 아
缶	장군 부
香	향기 향
酉	닭 유
鼎	솥 정
鬲	솥 력
䍃	질그릇 요
臼	절구 구
鬯	울창주 창
示	보일 시
宀	집 면
戶	집 호
厂	굴바위 엄
广	집 엄
穴	구멍 혈
瓦	기와 와
門	문 문
匚	상자 방
慧	감출 혜
口	둘러싸일 위
韋	에울 위
冂	멀 경
工	장인 공
丨	뚫을 곤
亅	갈고리 궐
匕	숟가락 비
刀	칼 도
斤	도끼 근
力	힘 력
方	모 방
耒	쟁기 뢰
罒	그물 망
爻	점괘 효
卜	점 복
占	점칠 점
用	쓸 용
龠	피리 약
甲	갑옷 갑
矛	창 모
戈	창 과
殳	몽둥이 수
干	방패 간
弓	활 궁
入	들 입
矢	화살 시
弋	주살 익
辛	매울 신
車	수레 차
舟	배 주
几	안석 궤
一	한 일
二	두 이
參	석 삼
五	다섯 오
八	여덟 팔
十	열 십
加	더할 가
區	나눌 구
分	나눌 분
合	합할 합
半	절반 반
丿	삐침 별
色	빛 색
白	흰 백
黑	검을 흑
玄	검을 현
玆	검을 자
赤	붉을 적
朱	붉을 주
黃	누를 황
靑	푸를 청
旦	아침 단
倝	해돋을 간
東	동녘 동
北	북녘 북
丙	남녘 병
柬	가릴 간
昜	빛날 양
熒	등불 형
炎	불꽃 염
粦	도깨비불 린
奐	빛날 환
尞	밝을 료
京	서울 경
高	높을 고
喬	높을 교
尙	오히려 상
卬	오를 앙
亢	올라갈 항
岡	언덕 강
宗	마루 종
旨	뜻 지
意	뜻 의
疑	의심할 의
義	옳을 의
是	옳을 시
可	옳을 가
正	바를 정
眞	참 진
弗	아닐 불
不	아닐 부, 아닐 불
未	아닐 미
非	아닐 비
女	여자 녀
每	매양 매
夭	일찍죽을 요
壽	목숨 수
肖	닯을 초
各	각각 각
共	함께 공
相	서로 상
幷	아우를 병
兼	겸할 겸
公	공평할 공
同	같을 동
埶	심을 예
果	열매 과
韱	산부추 섬
朿	가시나무 자
枼	잎 엽
乇	풀잎 탁
出	날 출
啇	꼭지 적
壬	줄기 정
丰	우거질 봉
采	캘 채
丩	얽힐 구
斬	벨 참
文	글월 문
卷	책 권
冊	책 책
尃	펼 부
申	펼 신
叚	빌릴 가
句	글귀 구
乍	지을 작
彔	새길 록
戠	새길 시
責	꾸짖을 책
育攵	철저할 철
甫	클 보
賁	클 분
少	적을 소
巨	클 거
長	긴 장
甬	길 용
重	무거울 중
扁	넓적할 편
辟	임금 벽
周	두루 주
吳	나라이름 오
堯	요임금 요
則	법칙 칙
暴	사나울 폭
戔	도적 전
侵	침범할 침
君	임금 군
主	주인 주
王	임금 왕
官	벼슬 관
臤	굳을 간
咅	침뱉을 투
軍	군사 군
卒	군사 졸
才	재주 재
專	전문가 전
令	하여금 령
丁	장정 정
巽	뽑을 손
員	인원 원
夬	정할 쾌
元	으뜸 원
亞	버금 아
次	버금 차
比	견줄 비
庶	여러 서
咸	다 함
僉	다 첨
巠	물줄기 경
井	우물 정
寺	절 사
谷	계곡 곡
㕣	산속늪 연
朕	밀어올릴 등
回	돌 회
侖	둥글 륜
睘	둥근 옥 환
直	곧을 직
化	될 화
成	이룰 성
莫	없을 막
勿	말 물
曼	길게 끌 만
亡	망할 망
取	가질 취
屯	진칠 둔
睪	엿볼 역
兆	조짐 조
竟	마침내 경
蒦	붙잡을 확
包	쌀 포
敝	해질 폐
爭	다툴 쟁
臽	함정 함
免	벗어날 면
倉	곳집 창
冓	쌓을 구
盧	밥그릇 로
爿	나무조각 장
帚	빗자루 추
攸	바 유
曷	어찌 갈
其	그 기
也	이것 이
幾	기미 기
旣	이미 기
反	돌이킬 반
复	돌아올 복
單	홑 단
交	사귈 교
契	맺을 계
婁	포갤 루
云	이를 운
褱	그리워할 회
奴	종 노
卑	낮을 비
列	벌일 렬
夋	갈 준
去	갈 거
予	나 여, 줄 여
余	나 여
召	부를 소
告	고할 고
垂	드리울 수
壬	북방 임
因	인할 인
司	맡을 사
代	대신할 대
及	미칠 급
詹	이를 첨
叔	아재비 숙
必	반드시 필
票	쪽지 표
叟	찾을 수
襄	도울 양
爰	당길 원
台	기쁠 이
兌	기쁠 태
悤	바쁠 총
酋	술익을 추
勺	잔 작
付	줄 부
畐	찰 복
兪	통나무배 유
凡	무릇 범
由	말미암을 유
良	어질 량
者	사람 자
立	설 립
畺	지경 강
堇	진흙 근
圭	홀 규
巴	꼬리 파
古	예 고
昔	옛 석
今	이제 금
旬	열흘 순
中	가운데 중
央	가운데 앙
夾	낄 협
